order_id,customer_id,customer_segment,order_date,due_date,product_type,quantity,estimated_production_time,resource_available,machine_id,status,priority_score
O10034,C1302,A,2025-05-22,2025-05-27,Widget,80,31.34,10,M3,queued,4.87
O10035,C1143,C,2025-06-06,2025-06-13,Thingamajig,15,4.99,11,M5,in progress,2.7
O10036,C1415,A,2025-06-19,2025-06-24,Widget,62,20.8,5,M3,delayed,5.92
O10037,C1446,B,2025-05-27,2025-06-02,Doohickey,62,21.07,9,M4,in progress,3.49
O10038,C1004,C,2025-07-02,2025-07-13,Widget,47,10.61,9,M5,queued,0.54
O10039,C1389,B,2025-05-09,2025-05-15,Doohickey,62,20.35,4,M3,queued,3.56
O10040,C1413,B,2025-06-24,2025-07-06,Widget,51,11.11,10,M2,in progress,2.09
O10041,C1082,C,2025-05-08,2025-05-18,Gadget,55,13.35,11,M4,in progress,0.66
O10042,C1358,B,2025-05-27,2025-06-08,Thingamajig,64,25.59,7,M4,in progress,0.64
O10043,C1217,B,2025-05-19,2025-05-24,Doohickey,3,1.19,4,M3,queued,5.88
O10044,C1175,C,2025-05-16,2025-05-25,Doohickey,51,17.37,11,M5,queued,0.66
O10045,C1143,B,2025-05-24,2025-05-31,Gadget,7,2.08,7,M5,delayed,4.99
O10046,C1080,B,2025-06-08,2025-06-10,Gadget,21,5.15,11,M4,queued,6.68
O10047,C1111,A,2025-06-06,2025-06-14,Widget,73,20.89,7,M5,queued,4.71
O10048,C1491,A,2025-05-21,2025-06-01,Doohickey,39,6.05,6,M2,in progress,4.99
O10049,C1391,B,2025-05-22,2025-05-25,Widget,18,6.21,11,M1,queued,6.18
O10050,C1173,B,2025-06-08,2025-06-18,Gadget,4,0.87,9,M5,queued,3.91
O10051,C1053,C,2025-06-12,2025-06-23,Doohickey,89,24.07,8,M2,queued,-0.81
O10052,C1048,C,2025-06-15,2025-06-17,Thingamajig,60,18.02,10,M5,queued,3.4
O10053,C1195,A,2025-05-08,2025-05-13,Thingamajig,14,4.31,7,M4,queued,7.57
O10054,C1050,B,2025-06-04,2025-06-16,Doohickey,9,3.06,6,M2,in progress,2.89
O10055,C1184,C,2025-07-04,2025-07-11,Doohickey,90,31.07,11,M4,queued,0.09
O10056,C1434,C,2025-06-18,2025-06-28,Gadget,53,10.23,9,M3,queued,0.98
O10057,C1177,B,2025-05-08,2025-05-10,Doohickey,2,0.77,8,M5,queued,7.12
O10058,C1310,C,2025-06-14,2025-06-23,Doohickey,84,15.94,7,M5,in progress,0.81
O10059,C1136,C,2025-05-29,2025-06-06,Thingamajig,92,24.42,11,M4,queued,0.36
O10060,C1414,B,2025-05-20,2025-05-22,Gadget,60,10.83,11,M5,queued,6.12
O10061,C1023,B,2025-06-28,2025-07-09,Widget,71,23.59,7,M1,queued,1.24
O10062,C1374,C,2025-05-13,2025-05-23,Doohickey,44,9.61,4,M5,delayed,1.04
O10063,C1236,C,2025-05-13,2025-05-25,Gadget,8,1.3,4,M2,queued,1.07
O10064,C1275,C,2025-05-30,2025-06-09,Gadget,47,11.11,9,M3,queued,0.89
O10065,C1064,A,2025-06-11,2025-06-18,Thingamajig,35,11.07,8,M4,delayed,6.09
O10066,C1499,B,2025-05-27,2025-06-02,Doohickey,78,28.4,7,M2,queued,2.76
O10067,C1473,B,2025-06-28,2025-06-30,Doohickey,81,26.87,9,M2,in progress,4.51
O10068,C1194,B,2025-05-25,2025-06-08,Gadget,36,13.92,9,M2,queued,1.01
O10069,C1041,C,2025-06-03,2025-06-05,Doohickey,50,11.4,5,M3,in progress,4.06
O10070,C1283,C,2025-06-20,2025-07-01,Thingamajig,4,0.76,11,M4,queued,1.52
O10071,C1151,B,2025-06-24,2025-06-29,Thingamajig,2,0.49,10,M4,queued,5.95
O10072,C1425,B,2025-05-14,2025-05-18,Thingamajig,6,2.07,11,M3,in progress,6.19
O10073,C1322,A,2025-06-04,2025-06-08,Doohickey,54,8.25,4,M1,in progress,7.58
O10074,C1317,A,2025-05-17,2025-05-28,Doohickey,4,1.22,8,M2,queued,5.48
O10075,C1454,B,2025-05-11,2025-05-14,Thingamajig,54,14.01,11,M4,in progress,5.4
O10076,C1442,C,2025-05-13,2025-05-18,Widget,93,26.95,7,M3,in progress,1.3
O10077,C1186,A,2025-05-31,2025-06-14,Gadget,63,22.32,9,M3,queued,2.17
O10078,C1296,B,2025-06-14,2025-06-24,Widget,18,5.1,7,M2,delayed,3.49
O10079,C1099,B,2025-05-29,2025-06-07,Doohickey,90,14.66,5,M3,queued,2.93
O10080,C1361,C,2025-05-16,2025-05-18,Gadget,44,10.0,8,M5,queued,4.2
O10081,C1036,C,2025-06-07,2025-06-14,Gadget,34,6.11,9,M2,in progress,2.59
O10082,C1024,B,2025-06-29,2025-07-03,Doohickey,74,28.72,7,M4,delayed,3.53
O10083,C1339,A,2025-06-15,2025-06-27,Widget,62,22.93,4,M2,queued,2.91
O10084,C1117,A,2025-05-06,2025-05-16,Widget,14,2.65,10,M1,queued,5.74
O10085,C1396,A,2025-06-07,2025-06-12,Widget,95,29.09,5,M2,in progress,5.09
O10086,C1149,B,2025-06-06,2025-06-09,Widget,48,17.66,8,M2,queued,5.03
O10087,C1041,B,2025-06-27,2025-07-01,Thingamajig,15,4.13,5,M1,queued,5.99
O10088,C1438,C,2025-06-22,2025-07-01,Gadget,72,15.31,4,M2,queued,0.87
O10089,C1120,A,2025-05-23,2025-06-01,Widget,78,29.94,8,M3,queued,3.41
O10090,C1444,C,2025-05-09,2025-05-12,Doohickey,87,31.16,5,M4,queued,1.68
O10091,C1052,C,2025-05-07,2025-05-11,Thingamajig,62,19.03,6,M4,queued,2.5
O10092,C1195,C,2025-06-05,2025-06-10,Gadget,40,12.74,4,M5,queued,2.73
O10093,C1143,C,2025-05-17,2025-05-30,Doohickey,85,16.72,4,M4,in progress,-0.87
O10094,C1233,B,2025-06-29,2025-07-12,Thingamajig,80,17.75,4,M4,queued,1.02
O10095,C1326,B,2025-06-20,2025-07-02,Gadget,82,16.22,6,M1,in progress,1.58
O10096,C1428,B,2025-06-30,2025-07-13,Doohickey,53,16.18,6,M2,delayed,1.18
O10097,C1187,B,2025-05-12,2025-05-14,Gadget,24,6.18,7,M2,in progress,6.58
O10098,C1084,A,2025-06-09,2025-06-22,Thingamajig,26,6.53,9,M3,queued,4.15
O10099,C1190,B,2025-06-24,2025-07-01,Widget,89,18.85,10,M2,in progress,3.32
O10100,C1182,B,2025-06-04,2025-06-06,Thingamajig,60,13.29,5,M1,in progress,5.87
O10101,C1108,A,2025-06-12,2025-06-22,Doohickey,41,13.18,7,M3,queued,4.68
O10102,C1344,C,2025-06-14,2025-06-20,Widget,29,4.87,5,M3,delayed,3.11
O10103,C1137,B,2025-05-18,2025-05-26,Gadget,15,5.79,10,M5,in progress,4.22
O10104,C1360,A,2025-05-10,2025-05-24,Gadget,45,15.58,9,M2,queued,2.84
O10105,C1480,A,2025-06-01,2025-06-09,Gadget,65,20.02,6,M1,queued,4.8
O10106,C1350,C,2025-06-16,2025-06-24,Thingamajig,89,22.66,9,M4,queued,0.53
O10107,C1332,B,2025-05-13,2025-05-20,Gadget,71,21.32,6,M1,delayed,3.07
O10108,C1037,C,2025-06-01,2025-06-06,Gadget,9,1.98,10,M1,in progress,3.8
O10109,C1312,C,2025-05-10,2025-05-13,Gadget,88,33.91,9,M1,in progress,1.41
O10110,C1326,B,2025-06-29,2025-07-09,Thingamajig,1,0.4,7,M3,queued,3.96
O10111,C1088,B,2025-06-24,2025-07-05,Doohickey,8,2.1,8,M5,in progress,3.39
O10112,C1274,C,2025-06-07,2025-06-18,Widget,88,17.15,7,M3,delayed,-0.11
O10113,C1374,A,2025-06-13,2025-06-20,Gadget,63,18.08,5,M1,queued,5.39
O10114,C1126,B,2025-06-28,2025-07-11,Thingamajig,11,2.76,7,M4,queued,2.52
O10115,C1084,A,2025-05-28,2025-06-03,Gadget,81,15.99,10,M3,queued,6.0
O10116,C1237,C,2025-06-23,2025-06-28,Widget,8,2.05,4,M1,queued,3.8
O10117,C1195,B,2025-06-01,2025-06-13,Doohickey,35,9.8,5,M4,in progress,2.22
O10118,C1139,B,2025-05-24,2025-06-01,Doohickey,35,7.56,9,M2,delayed,4.04
O10119,C1474,C,2025-05-28,2025-06-08,Gadget,33,9.21,5,M2,queued,0.68
O10120,C1328,B,2025-06-15,2025-06-19,Widget,5,1.09,8,M1,queued,6.29
O10121,C1353,A,2025-05-11,2025-05-24,Gadget,41,11.78,6,M5,in progress,3.62
O10122,C1286,B,2025-05-29,2025-06-05,Doohickey,28,10.98,9,M5,queued,4.1
O10123,C1113,B,2025-07-01,2025-07-13,Thingamajig,7,2.09,11,M1,queued,2.99
O10124,C1351,B,2025-06-07,2025-06-19,Thingamajig,73,12.33,5,M5,in progress,1.97
O10125,C1167,A,2025-06-04,2025-06-11,Thingamajig,72,12.03,9,M5,delayed,6.0
O10126,C1432,C,2025-05-31,2025-06-10,Widget,12,2.08,9,M5,queued,1.79
O10127,C1394,B,2025-05-19,2025-06-01,Widget,34,8.99,9,M3,queued,1.9
O10128,C1398,B,2025-06-23,2025-06-27,Doohickey,33,10.3,6,M4,in progress,5.37
O10129,C1029,B,2025-05-29,2025-06-04,Widget,48,7.38,11,M1,queued,4.86
O10130,C1118,B,2025-07-04,2025-07-08,Doohickey,23,5.6,10,M2,queued,5.84
O10131,C1421,C,2025-05-07,2025-05-19,Doohickey,62,19.78,7,M5,delayed,-0.78
O10132,C1017,B,2025-06-26,2025-06-28,Gadget,88,27.99,9,M1,in progress,4.4
O10133,C1413,A,2025-07-02,2025-07-09,Thingamajig,37,8.44,4,M3,in progress,6.36
O10134,C1162,B,2025-05-17,2025-05-22,Thingamajig,99,21.03,10,M3,queued,3.9
O10135,C1206,B,2025-05-26,2025-05-29,Doohickey,44,16.13,8,M5,in progress,5.19
O10136,C1138,A,2025-06-17,2025-06-19,Widget,86,15.42,6,M4,delayed,7.66
O10137,C1034,B,2025-05-16,2025-05-26,Doohickey,91,17.17,5,M2,in progress,2.28
O10138,C1109,B,2025-07-02,2025-07-14,Thingamajig,35,11.69,6,M4,in progress,2.03
O10139,C1468,B,2025-06-06,2025-06-12,Gadget,65,13.04,5,M2,in progress,4.3
O10140,C1483,C,2025-05-29,2025-06-05,Thingamajig,99,30.32,6,M2,in progress,0.17
O10141,C1291,B,2025-07-03,2025-07-13,Doohickey,47,7.64,5,M1,queued,3.24
O10142,C1449,C,2025-05-27,2025-05-29,Doohickey,78,12.0,9,M2,in progress,4.0
O10143,C1368,B,2025-05-19,2025-05-24,Thingamajig,3,1.15,7,M2,delayed,5.88
O10144,C1162,A,2025-07-03,2025-07-13,Thingamajig,1,0.26,5,M3,in progress,5.97
O10145,C1109,C,2025-05-06,2025-05-08,Widget,5,1.03,11,M4,in progress,5.1
O10146,C1336,A,2025-05-25,2025-06-04,Gadget,90,32.4,5,M4,queued,2.76
O10147,C1256,B,2025-06-07,2025-06-18,Thingamajig,14,4.69,4,M3,in progress,3.13
O10148,C1203,B,2025-07-04,2025-07-11,Gadget,27,10.64,5,M5,in progress,4.14
O10149,C1453,C,2025-05-16,2025-05-18,Gadget,9,2.47,4,M1,delayed,4.95
O10150,C1469,B,2025-06-16,2025-06-28,Widget,79,20.41,8,M4,in progress,1.16
O10151,C1330,A,2025-05-24,2025-05-28,Doohickey,15,5.59,9,M5,in progress,7.84
O10152,C1235,B,2025-06-08,2025-06-14,Gadget,90,34.08,4,M3,queued,2.19
O10153,C1074,B,2025-06-08,2025-06-21,Gadget,42,15.34,7,M1,queued,1.27
O10154,C1136,A,2025-06-03,2025-06-08,Gadget,77,19.91,10,M3,queued,6.01
O10155,C1072,B,2025-06-12,2025-06-22,Gadget,51,13.24,9,M5,in progress,2.68
O10156,C1127,C,2025-06-01,2025-06-05,Doohickey,63,18.73,4,M4,queued,2.53
O10157,C1382,A,2025-06-21,2025-06-23,Widget,96,27.53,9,M4,delayed,6.45
O10158,C1288,B,2025-05-14,2025-05-24,Gadget,52,10.95,11,M2,queued,2.9
O10159,C1276,B,2025-06-29,2025-07-04,Thingamajig,96,19.3,9,M3,queued,4.07
O10160,C1135,B,2025-05-25,2025-06-02,Doohickey,4,0.8,9,M2,queued,4.72
O10161,C1383,C,2025-06-06,2025-06-14,Widget,94,15.28,8,M3,queued,1.27
O10162,C1300,B,2025-06-25,2025-06-30,Thingamajig,23,3.53,7,M4,delayed,5.65
O10163,C1220,C,2025-06-13,2025-06-15,Thingamajig,15,3.05,6,M3,queued,4.9
O10164,C1460,B,2025-06-20,2025-06-26,Thingamajig,43,7.28,6,M3,queued,4.87
O10165,C1299,A,2025-05-22,2025-05-25,Gadget,29,4.8,4,M1,in progress,8.32
O10166,C1205,A,2025-06-07,2025-06-21,Gadget,36,9.22,9,M5,queued,3.48
O10167,C1186,C,2025-05-26,2025-06-06,Thingamajig,13,3.89,4,M1,queued,1.21
O10168,C1113,C,2025-06-19,2025-06-22,Widget,32,7.78,8,M1,queued,4.02
O10169,C1071,A,2025-06-10,2025-06-18,Gadget,71,25.53,8,M2,queued,4.25
O10170,C1261,B,2025-06-06,2025-06-13,Widget,59,14.5,5,M3,in progress,3.75
O10171,C1253,C,2025-05-21,2025-05-26,Gadget,86,32.95,11,M5,queued,0.7
O10172,C1047,C,2025-06-14,2025-06-28,Gadget,28,9.71,8,M4,queued,-0.57
O10173,C1387,B,2025-05-07,2025-05-11,Gadget,66,20.08,5,M3,queued,4.39
O10174,C1025,B,2025-06-28,2025-06-30,Widget,42,8.96,7,M3,delayed,6.3
O10175,C1441,B,2025-06-07,2025-06-19,Gadget,45,12.62,4,M1,in progress,1.94
O10176,C1057,C,2025-06-30,2025-07-04,Widget,62,21.25,10,M5,in progress,2.28
O10177,C1079,B,2025-06-30,2025-07-02,Gadget,57,21.67,7,M2,queued,5.03
O10178,C1322,A,2025-05-08,2025-05-15,Doohickey,6,2.1,8,M4,queued,6.99
O10179,C1082,B,2025-06-23,2025-07-01,Gadget,28,6.08,7,M4,in progress,4.19
O10180,C1406,B,2025-05-08,2025-05-21,Thingamajig,28,10.61,7,M1,queued,1.74
O10181,C1349,C,2025-05-20,2025-05-26,Widget,44,13.93,11,M4,queued,2.21
O10182,C1217,A,2025-06-26,2025-07-05,Doohickey,84,29.13,11,M3,in progress,3.49
O10183,C1306,B,2025-06-29,2025-07-02,Widget,30,9.23,11,M3,queued,5.88
O10184,C1033,B,2025-06-07,2025-06-19,Gadget,62,19.19,7,M1,queued,1.28
O10185,C1198,C,2025-06-20,2025-06-27,Thingamajig,75,19.27,8,M2,queued,1.27
O10186,C1196,B,2025-05-22,2025-05-27,Thingamajig,92,26.11,10,M3,in progress,3.39
O10187,C1306,B,2025-05-08,2025-05-20,Thingamajig,89,34.18,9,M2,queued,-0.22
O10188,C1240,B,2025-06-03,2025-06-16,Gadget,62,15.8,7,M2,queued,1.22
O10189,C1271,C,2025-06-19,2025-06-26,Gadget,97,33.59,5,M4,queued,-0.16
O10190,C1129,B,2025-06-25,2025-07-06,Thingamajig,1,0.16,8,M3,queued,3.58
O10191,C1498,A,2025-07-04,2025-07-09,Gadget,27,8.03,7,M4,queued,7.2
O10192,C1284,B,2025-05-14,2025-05-22,Gadget,62,10.17,10,M1,queued,3.78
O10193,C1441,B,2025-06-20,2025-06-27,Doohickey,77,12.09,9,M3,queued,3.99
O10194,C1483,C,2025-06-18,2025-07-01,Gadget,3,0.53,11,M1,queued,0.75
O10195,C1006,B,2025-07-01,2025-07-09,Doohickey,70,22.98,8,M4,queued,2.5
O10196,C1349,A,2025-06-28,2025-07-05,Thingamajig,72,22.59,6,M4,queued,4.94
O10197,C1370,B,2025-06-06,2025-06-08,Widget,27,10.29,9,M4,in progress,6.17
O10198,C1059,B,2025-06-26,2025-07-02,Gadget,9,1.71,5,M3,queued,5.43
O10199,C1350,C,2025-05-30,2025-06-05,Thingamajig,62,21.49,7,M4,queued,1.45
O10200,C1454,A,2025-06-16,2025-06-29,Thingamajig,37,11.69,10,M1,queued,3.63
O10201,C1275,B,2025-05-11,2025-05-19,Gadget,97,32.02,6,M2,queued,1.6
O10202,C1385,A,2025-05-26,2025-05-31,Widget,51,13.34,10,M3,queued,6.67
O10203,C1137,B,2025-05-12,2025-05-17,Widget,44,9.78,6,M5,in progress,5.02
O10204,C1394,B,2025-06-24,2025-06-29,Gadget,24,9.15,8,M1,queued,5.08
O10205,C1329,B,2025-06-07,2025-06-19,Thingamajig,79,22.02,6,M3,queued,1.0
O10206,C1175,C,2025-06-21,2025-06-29,Gadget,59,12.61,5,M4,in progress,1.54
O10207,C1058,A,2025-06-11,2025-06-25,Widget,32,7.63,5,M5,queued,3.64
O10208,C1151,B,2025-05-07,2025-05-12,Gadget,96,35.34,4,M5,queued,2.47
O10209,C1223,B,2025-06-19,2025-07-03,Thingamajig,88,19.97,5,M3,queued,0.4
O10210,C1081,C,2025-05-28,2025-06-05,Widget,52,20.19,9,M4,queued,0.78
O10211,C1233,C,2025-06-30,2025-07-05,Widget,62,19.1,6,M1,in progress,2.09
O10212,C1002,B,2025-05-31,2025-06-02,Widget,58,16.03,5,M1,queued,5.6
O10213,C1489,B,2025-06-15,2025-06-23,Thingamajig,52,10.81,8,M2,queued,3.72
O10214,C1370,B,2025-06-23,2025-06-25,Gadget,12,2.11,10,M4,queued,6.99
O10215,C1449,C,2025-06-24,2025-07-04,Widget,39,6.61,11,M2,queued,1.34
O10216,C1369,A,2025-05-18,2025-06-01,Thingamajig,2,0.55,10,M1,in progress,4.35
O10217,C1135,B,2025-06-02,2025-06-09,Thingamajig,3,0.84,4,M4,delayed,5.12
O10218,C1498,B,2025-06-15,2025-06-21,Doohickey,56,17.88,10,M2,queued,3.81
O10219,C1257,B,2025-07-01,2025-07-03,Widget,81,19.13,6,M3,queued,5.29
O10220,C1391,C,2025-05-27,2025-05-31,Thingamajig,59,14.96,4,M3,queued,2.9
O10221,C1092,A,2025-06-17,2025-06-24,Gadget,2,0.45,6,M5,in progress,7.16
O10222,C1260,A,2025-06-21,2025-06-27,Thingamajig,2,0.51,8,M1,queued,7.55
O10223,C1468,C,2025-06-11,2025-06-16,Thingamajig,92,19.08,4,M1,queued,2.09
O10224,C1055,B,2025-06-29,2025-07-07,Doohickey,54,13.9,7,M2,queued,3.41
O10225,C1446,B,2025-05-11,2025-05-19,Widget,87,13.09,9,M2,in progress,3.49
O10226,C1321,A,2025-05-20,2025-05-23,Thingamajig,96,27.17,9,M5,in progress,6.08
O10227,C1153,B,2025-06-29,2025-07-12,Gadget,97,27.04,6,M2,queued,0.1
O10228,C1431,B,2025-05-20,2025-05-27,Doohickey,1,0.29,10,M5,in progress,5.17
O10229,C1328,B,2025-05-06,2025-05-08,Thingamajig,19,4.82,11,M4,in progress,6.72
O10230,C1260,C,2025-05-10,2025-05-21,Gadget,2,0.74,11,M3,queued,1.53
O10231,C1312,A,2025-06-11,2025-06-22,Widget,53,12.64,7,M4,delayed,4.34
O10232,C1102,A,2025-06-30,2025-07-13,Doohickey,44,13.0,4,M4,in progress,3.5
O10233,C1079,B,2025-07-01,2025-07-04,Thingamajig,90,25.18,7,M2,queued,4.28
O10234,C1192,B,2025-06-09,2025-06-22,Doohickey,32,7.29,7,M3,queued,2.07
O10235,C1391,B,2025-05-26,2025-06-03,Gadget,70,11.51,10,M2,queued,3.65
O10236,C1083,A,2025-05-13,2025-05-20,Widget,32,6.94,11,M5,queued,6.51
O10237,C1277,A,2025-06-25,2025-07-02,Widget,68,13.93,4,M3,queued,5.81
O10238,C1489,B,2025-06-13,2025-06-26,Widget,55,16.11,8,M3,queued,1.19
O10239,C1399,B,2025-05-13,2025-05-25,Widget,75,21.69,10,M2,in progress,1.03
O10240,C1473,B,2025-06-09,2025-06-11,Thingamajig,56,14.41,7,M1,queued,5.76
O10241,C1272,C,2025-06-08,2025-06-12,Gadget,17,5.44,7,M4,in progress,3.86
O10242,C1471,A,2025-05-29,2025-06-07,Doohickey,38,12.37,8,M3,queued,5.16
O10243,C1001,A,2025-05-24,2025-05-26,Thingamajig,24,4.82,7,M2,delayed,8.72
O10244,C1307,B,2025-07-04,2025-07-07,Doohickey,69,17.46,7,M4,in progress,5.05
O10245,C1166,C,2025-06-23,2025-06-30,Widget,98,28.8,7,M4,queued,0.32
O10246,C1251,A,2025-05-22,2025-06-05,Gadget,70,19.82,9,M5,queued,2.42
O10247,C1010,C,2025-05-07,2025-05-21,Thingamajig,86,27.88,10,M2,queued,-2.39
O10248,C1058,C,2025-06-19,2025-06-25,Doohickey,11,1.97,5,M1,in progress,3.4
O10249,C1476,B,2025-05-13,2025-05-27,Doohickey,16,4.16,10,M1,queued,1.98
O10250,C1186,B,2025-06-29,2025-07-08,Thingamajig,97,31.33,8,M5,queued,1.27
O10251,C1450,B,2025-05-30,2025-06-07,Doohickey,73,13.04,7,M5,queued,3.5
O10252,C1426,C,2025-05-27,2025-06-07,Doohickey,59,22.06,10,M2,queued,-0.61
O10253,C1414,B,2025-06-01,2025-06-09,Thingamajig,70,24.03,9,M1,in progress,2.4
O10254,C1158,A,2025-05-29,2025-06-06,Gadget,80,20.39,11,M4,in progress,4.76
O10255,C1123,A,2025-06-18,2025-06-20,Thingamajig,93,28.16,8,M2,delayed,6.38
O10256,C1030,A,2025-06-08,2025-06-20,Thingamajig,3,0.5,6,M3,queued,5.15
O10257,C1124,C,2025-05-29,2025-06-12,Gadget,20,5.04,10,M2,in progress,-0.1
O10258,C1450,C,2025-05-27,2025-06-10,Doohickey,59,18.12,6,M1,queued,-1.41
O10259,C1291,C,2025-05-25,2025-06-05,Thingamajig,36,7.68,7,M4,in progress,0.83
O10260,C1485,C,2025-06-01,2025-06-11,Doohickey,19,6.32,9,M5,in progress,1.37
O10261,C1041,C,2025-06-23,2025-07-03,Doohickey,90,25.55,9,M4,in progress,-0.56
O10262,C1044,B,2025-06-17,2025-06-19,Doohickey,67,17.84,10,M5,queued,5.42
O10263,C1375,C,2025-05-21,2025-05-28,Thingamajig,19,6.86,8,M3,queued,2.51
O10264,C1249,B,2025-06-07,2025-06-11,Gadget,20,3.64,8,M2,delayed,6.04
O10265,C1418,B,2025-05-26,2025-06-02,Widget,96,33.4,9,M1,queued,1.86
O10266,C1036,B,2025-05-12,2025-05-26,Gadget,71,13.91,8,M3,in progress,1.01
O10267,C1390,A,2025-06-23,2025-06-26,Thingamajig,52,13.06,9,M2,queued,7.49
O10268,C1273,C,2025-06-22,2025-06-26,Gadget,33,5.06,10,M5,queued,3.89
O10269,C1393,C,2025-06-23,2025-07-03,Widget,40,14.04,5,M1,queued,0.6
O10270,C1065,A,2025-06-15,2025-06-19,Gadget,39,8.59,9,M1,delayed,7.54
O10271,C1066,B,2025-05-23,2025-05-26,Thingamajig,82,13.67,6,M5,delayed,5.43
O10272,C1338,B,2025-06-16,2025-06-23,Doohickey,1,0.27,8,M4,queued,5.17
O10273,C1244,C,2025-07-04,2025-07-14,Widget,11,3.69,9,M4,in progress,1.63
O10274,C1485,C,2025-05-27,2025-06-09,Gadget,92,26.35,9,M4,queued,-1.84
O10275,C1282,B,2025-05-17,2025-05-19,Thingamajig,57,9.61,10,M1,queued,6.24
O10276,C1085,B,2025-06-20,2025-06-23,Widget,89,24.77,8,M2,queued,4.32
O10277,C1136,B,2025-05-26,2025-06-02,Widget,50,12.92,5,M2,queued,3.91
O10278,C1271,B,2025-06-10,2025-06-24,Gadget,23,6.66,10,M2,in progress,1.73
O10279,C1447,B,2025-06-06,2025-06-20,Thingamajig,31,8.11,5,M3,queued,1.59
O10280,C1311,C,2025-06-19,2025-06-23,Thingamajig,94,22.34,11,M3,queued,2.17
O10281,C1217,A,2025-05-16,2025-05-25,Widget,42,7.02,10,M4,queued,5.7
O10282,C1494,C,2025-06-12,2025-06-17,Widget,99,26.34,8,M4,queued,1.37
O10283,C1109,A,2025-05-06,2025-05-11,Doohickey,7,1.13,4,M2,in progress,7.89
O10284,C1476,B,2025-05-23,2025-06-04,Gadget,16,6.12,8,M4,queued,2.59
O10285,C1277,C,2025-05-11,2025-05-23,Doohickey,90,32.21,8,M2,queued,-2.02
O10286,C1387,B,2025-05-22,2025-05-24,Widget,60,14.6,5,M5,queued,5.74
O10287,C1374,B,2025-06-03,2025-06-16,Widget,2,0.35,5,M2,queued,2.76
O10288,C1354,B,2025-05-31,2025-06-09,Thingamajig,1,0.29,8,M3,queued,4.37
